,0
0,100000000.0
1,100000000.0
2,100000000.0
3,100000000.0
4,100000000.0
5,100000000.0
6,100000000.0
7,100000000.0
8,100000000.0
9,100000000.0
10,100000000.0
11,100000000.0
12,100000000.0
13,100000000.0
14,100000000.0
15,100000000.0
16,100000000.0
17,100000000.0
18,100000000.0
19,100000000.0
20,100000000.0
21,100000000.0
22,100000000.0
23,100000000.0
24,100000000.0
25,100000000.0
26,102724528.19865818
27,103838734.59754196
28,103677761.88512155
29,103470180.56498194
30,103470180.56498194
31,103470180.56498194
32,103470180.56498194
33,103470180.56498194
34,103470180.56498194
35,103470180.56498194
36,105088965.97224024
37,109568753.36724009
38,109956208.77985702
39,110398948.89301953
40,110398948.89301953
41,110398948.89301953
42,110398948.89301953
43,110398948.89301953
44,110398948.89301953
45,110398948.89301953
46,110398948.89301953
47,110740855.04750504
48,112068080.20030244
49,114009342.77917752
50,116465029.52488594
51,115715075.1691732
52,116123906.19481692
53,114233877.70125416
54,114946216.67053652
55,114112351.06817146
56,112646778.45307732
57,115764534.57984371
58,115890690.79894865
59,116107316.84490404
60,117786892.07387432
61,117691484.02193348
62,115948428.68102448
63,115948428.68102448
64,115948428.68102448
65,115948428.68102448
66,115948428.68102448
67,115918038.93183853
68,115758397.6972056
69,114086508.32898964
70,114431100.2330984
71,111789630.108391
72,111049037.68586417
73,111287803.810407
74,110815085.2428367
75,111493137.41254972
76,111078371.0575988
77,110774432.19816338
78,110390716.9471104
79,112240128.64964636
80,112188708.81227228
81,112435118.97386795
82,109262391.24022643
83,106219394.51860309
84,106237322.0767831
85,106404070.8710684
86,106253642.08057252
87,106253642.08057252
88,106253642.08057252
89,106253642.08057252
90,106253642.08057252
91,106321394.78908442
92,107025063.72242127
93,107713013.07739057
94,106880481.47994152
95,106631240.93618543
96,106909913.0760659
97,106856996.80864534
98,106910216.1040826
99,110477045.25344284
100,110248959.55007637
101,110248959.55007637
102,110248959.55007637
103,110248959.55007637
104,110248959.55007637
105,110248959.55007637
106,110248959.55007637
107,110248959.55007637
108,110248959.55007637
109,110248959.55007637
110,110248959.55007637
111,110248959.55007637
112,110248959.55007637
113,110248959.55007637
114,110248959.55007637
115,110248959.55007637
116,112276954.50171334
117,112930445.48168324
118,113668501.77714592
119,113591497.32204802
120,113702777.6776024
121,115879064.71473022
122,116568770.27730916
123,116991402.98655751
124,116974148.71540016
125,115859290.15677457
126,116123842.72330683
127,118235610.41839896
128,118674062.77401184
129,118415403.80122323
130,118426182.87399122
131,118010064.13677529
132,117739966.93928684
133,117402713.79203524
134,117833450.19268112
135,116817852.16026434
136,116934638.37313189
137,118266047.72819345
138,116010701.23288605
139,116100811.17933495
140,115519826.9118691
141,114513495.78014135
142,115207311.3488836
143,115485783.65327092
144,115639521.1479654
145,115417348.17328712
146,116486764.02225776
147,117316675.0781066
148,117047779.86355267
149,116423214.02129827
150,118285473.32336164
151,121175195.3926152
152,120466877.04674733
153,120466877.04674733
154,120466877.04674733
155,120466877.04674733
156,120466877.04674733
157,120466877.04674733
158,120466877.04674733
159,120466877.04674733
160,120466877.04674733
161,120466877.04674733
162,120466877.04674733
163,120466877.04674733
164,120466877.04674733
165,120466877.04674733
166,120466877.04674733
167,120466877.04674733
168,120466877.04674733
169,120466877.04674733
170,120466877.04674733
171,120466877.04674733
172,120466877.04674733
173,120466877.04674733
174,120466877.04674733
175,120466877.04674733
176,120466877.04674733
177,120466877.04674733
178,120466877.04674733
179,120466877.04674733
180,120466877.04674733
181,120466877.04674733
182,120600523.0528166
183,120729843.94607168
184,120729843.94607168
185,120729843.94607168
186,120729843.94607168
187,120729843.94607168
188,120729843.94607168
189,120729843.94607168
190,122454505.12855592
191,122488018.67963324
192,122477654.89191855
193,122735081.84883104
194,124216428.45604628
195,124363030.38801
196,123742513.4890942
197,123585190.39742564
198,123264349.7662591
199,123114332.9463894
200,123985685.27439916
201,123080115.2533675
202,123080115.2533675
203,123080115.2533675
204,123080115.2533675
205,123080115.2533675
206,123080115.2533675
207,123080115.2533675
208,123080115.2533675
209,123080115.2533675
210,123080115.2533675
211,123080115.2533675
212,123080115.2533675
213,123080115.2533675
214,123080115.2533675
215,123080115.2533675
216,123080115.2533675
217,123080115.2533675
218,123080115.2533675
219,123080115.2533675
220,123080115.2533675
221,123080115.2533675
222,123571825.5352742
223,122336984.8854968
224,122336984.8854968
225,122336984.8854968
226,122336984.8854968
227,122336984.8854968
228,122336984.8854968
229,122336984.8854968
230,122336984.8854968
231,122336984.8854968
232,122336984.8854968
233,122336984.8854968
234,122336984.8854968
235,122336984.8854968
236,122336984.8854968
237,122336984.8854968
238,122336984.8854968
239,122336984.8854968
240,122336984.8854968
241,122336984.8854968
242,122336984.8854968
243,122336984.8854968
244,122336984.8854968
245,122336984.8854968
246,122336984.8854968
247,123096058.32865022
248,122724779.18136708
249,121757590.2098194
250,121079661.27021673
251,120826384.06833252
252,120463993.88338375
253,120671545.33142583
254,120836010.54282564
255,120381353.70517509
256,121229104.52343579
257,121758405.35483696
258,121982686.68395375
259,122254479.32266535
260,122627544.02570121
261,121890187.13267559
262,122542846.57673395
263,122391617.76776218
264,122930933.23795055
265,123559642.94506447
266,124084441.07065442
267,124866203.95892228
268,124783566.57549652
269,124562839.17718448
270,125207637.86015259
271,124139874.19214469
272,125608621.0719094
273,125608621.0719094
274,126126762.87072302
275,126432724.34294431
276,126051125.4109785
277,126130911.1065983
278,125170497.58007301
279,125677318.95948873
280,125878954.23787478
281,125223532.96958119
282,124769320.52551831
283,125372326.701257
284,125703410.20008741
285,125635914.13785513
286,124708608.9612129
287,124554077.48271894
288,125494757.812417
289,125584080.57369398
290,125678365.71059744
291,126731901.31723872
292,125511156.9131202
293,126029143.6376955
294,126447960.38686003
295,125812504.92675118
296,125941604.23015934
297,126751673.28262559
298,126655139.56926633
299,126112108.35520104
300,125661074.93302387
301,124456264.40689354
302,124932226.01288195
303,126785014.2438661
304,127199837.83139367
305,127417368.21920836
306,126749657.3175273
307,127508474.3342261
308,126921673.4163927
309,127004250.44830239
310,125719496.55482046
311,125719496.55482046
312,125719496.55482046
313,125719496.55482046
314,125849203.43843807
315,125890900.58317302
316,124036169.88821685
317,124036169.88821685
318,124036169.88821685
319,124036169.88821685
320,124036169.88821685
321,124036169.88821685
322,124036169.88821685
323,124036169.88821685
324,124036169.88821685
325,124036169.88821685
326,124036169.88821685
327,124036169.88821685
328,124036169.88821685
329,125105122.9500627
330,125377606.31748573
331,126300016.88305485
332,125954259.99544631
333,125373954.81315756
334,125393916.37015161
335,124787158.0676187
336,124105911.22712117
337,124105911.22712117
338,126111825.51732609
339,126202234.92094319
340,126491114.87801221
341,125774591.01592746
342,125774591.01592746
343,125774591.01592746
344,126365308.95361876
345,127921347.75949553
346,128329065.04026261
347,128657634.08678742
348,127775195.35124628
349,127775195.35124628
350,127775195.35124628
351,127775195.35124628
352,127775195.35124628
353,127775195.35124628
354,127775195.35124628
355,127775195.35124628
356,127775195.35124628
357,128437768.75569598
358,129559143.086571
359,129793130.4836739
360,129061192.85143615
361,129665663.68330531
362,129843157.33895577
363,129984900.0955877
364,129451768.37279528
365,130441323.9736146
366,130657293.56836802
367,130881519.62785494
368,130664939.94950052
369,130274730.47830199
370,130051277.19137633
371,130889898.10930866
372,131062917.81855176
373,129193947.0430134
374,129645490.25223228
375,131411031.52128144
376,131975928.26356581
377,131695981.23518772
378,132209142.88810746
379,131796169.6115383
380,131796169.6115383
381,131796169.6115383
382,131796169.6115383
383,131796169.6115383
384,131796169.6115383
385,131796169.6115383
386,131796169.6115383
387,131796169.6115383
388,132545065.31441917
389,132642712.2351745
390,132388086.57260875
391,131829365.11875023
392,129678869.52290937
393,130843640.47044618
394,131405514.43250787
395,131211069.3432057
396,132099389.57138543
397,132111272.10230517
398,132846129.84782428
399,132847333.21678889
400,132847333.21678889
401,132847333.21678889
402,132847333.21678889
403,132847333.21678889
404,132847333.21678889
405,132847333.21678889
406,132847333.21678889
407,132847333.21678889
408,132847333.21678889
409,132847333.21678889
410,132847333.21678889
411,132847333.21678889
412,132847333.21678889
413,132847333.21678889
414,132847333.21678889
415,132847333.21678889
416,132847333.21678889
417,132847333.21678889
418,132847333.21678889
419,132847333.21678889
420,133261402.73971622
421,132937394.23821416
