,0
0,100000000.0
1,100000000.0
2,100000000.0
3,100000000.0
4,100000000.0
5,100000000.0
6,100000000.0
7,100000000.0
8,100000000.0
9,100000000.0
10,100000000.0
11,100000000.0
12,100000000.0
13,100000000.0
14,100000000.0
15,100000000.0
16,100000000.0
17,100000000.0
18,100000000.0
19,100000000.0
20,100000000.0
21,100000000.0
22,100000000.0
23,100000000.0
24,100000000.0
25,100000000.0
26,102827252.72685684
27,103942573.33213948
28,103781439.64700666
29,103677328.07362051
30,103677328.07362051
31,103677328.07362051
32,103677328.07362051
33,103677328.07362051
34,103677328.07362051
35,103677328.07362051
36,105404653.64679746
37,109897898.34106895
38,110286517.67129676
39,110841429.20673868
40,110841429.20673868
41,110841429.20673868
42,110841429.20673868
43,110841429.20673868
44,110841429.20673868
45,110841429.20673868
46,110841429.20673868
47,111295890.4309249
48,112629767.66276984
49,114580759.88856994
50,117048754.5854304
51,116295041.44346674
52,116705921.53839904
53,114806420.18417302
54,115522329.41063616
55,114684284.45717137
56,113211366.36277784
57,116344748.7456941
58,116471537.26229584
59,116689249.04233216
60,118377242.3359886
61,118281356.09698065
62,116646210.73853156
63,116646210.73853156
64,116646210.73853156
65,116646210.73853156
66,116646210.73853156
67,116732253.74078085
68,116571491.1771593
69,114887858.36422104
70,115234870.7011973
71,112574846.74213643
72,111829052.35688348
73,112069495.5880809
74,111593456.61877048
75,112276271.46496512
76,111858591.76786692
77,111552518.02483058
78,111277384.92124742
79,113254792.9129438
80,113202908.23405509
81,113451545.97314993
82,110250136.39917883
83,107179630.62117869
84,107197720.24664098
85,107365976.47008324
86,107321509.29452217
87,107321509.29452217
88,107321509.29452217
89,107321509.29452217
90,107321509.29452217
91,107497332.87223244
92,108208784.53921647
93,108904342.76582807
94,108062603.18523692
95,107810605.98607908
96,108092360.3013077
97,108038858.768295
98,108092666.68088111
99,111698945.74755232
100,111579917.28326926
101,111579917.28326926
102,111579917.28326926
103,111579917.28326926
104,111579917.28326926
105,111579917.28326926
106,111579917.28326926
107,111579917.28326926
108,111579917.28326926
109,111579917.28326926
110,111579917.28326926
111,111579917.28326926
112,111579917.28326926
113,111579917.28326926
114,111579917.28326926
115,111579917.28326926
116,113746027.17877524
117,114408068.67338675
118,115155781.9669628
119,115077769.9574518
120,115190506.34581864
121,117395268.71733612
122,118093998.63938132
123,118522161.22934608
124,118504681.19700348
125,117375235.42184237
126,117643249.49077168
127,119782648.32561933
128,120226837.55197904
129,119964794.19072632
130,119975714.300819
131,119554150.91407576
132,119280519.66621388
133,118938853.77561632
134,119375226.08863635
135,118346339.60065962
136,118464653.8869875
137,119813483.88829108
138,117528627.6157701
139,117619916.59366716
140,117031330.5158661
141,116011832.18009138
142,116714725.88512154
143,116996841.8228396
144,117152590.8750607
145,116927510.90804256
146,118010919.38453956
147,118851689.29973269
148,118579275.76198909
149,117946537.87215862
150,119833163.65504085
151,122760695.90319604
152,122165274.93634416
153,122165274.93634416
154,122165274.93634416
155,122165274.93634416
156,122165274.93634416
157,122165274.93634416
158,122165274.93634416
159,122165274.93634416
160,122165274.93634416
161,122165274.93634416
162,122165274.93634416
163,122165274.93634416
164,122165274.93634416
165,122165274.93634416
166,122165274.93634416
167,122165274.93634416
168,122165274.93634416
169,122165274.93634416
170,122165274.93634416
171,122165274.93634416
172,122165274.93634416
173,122165274.93634416
174,122165274.93634416
175,122165274.93634416
176,122165274.93634416
177,122165274.93634416
178,122165274.93634416
179,122165274.93634416
180,122165274.93634416
181,122165274.93634416
182,122423105.95092057
183,122677058.27248274
184,122677058.27248274
185,122677058.27248274
186,122677058.27248274
187,122677058.27248274
188,122677058.27248274
189,122677058.27248274
190,124553965.5179399
191,124588053.65280177
192,124577512.17981724
193,124839352.67544456
194,126346096.70288156
195,126495212.09850956
196,125864056.54935504
197,125704036.1816741
198,125377694.79579271
199,125225105.96462196
200,126111397.4710305
201,125315617.23266158
202,125315617.23266158
203,125315617.23266158
204,125315617.23266158
205,125315617.23266158
206,125315617.23266158
207,125315617.23266158
208,125315617.23266158
209,125315617.23266158
210,125315617.23266158
211,125315617.23266158
212,125315617.23266158
213,125315617.23266158
214,125315617.23266158
215,125315617.23266158
216,125315617.23266158
217,125315617.23266158
218,125315617.23266158
219,125315617.23266158
220,125315617.23266158
221,125315617.23266158
222,125942074.6982528
223,124808356.7470729
224,124808356.7470729
225,124808356.7470729
226,124808356.7470729
227,124808356.7470729
228,124808356.7470729
229,124808356.7470729
230,124808356.7470729
231,124808356.7470729
232,124808356.7470729
233,124808356.7470729
234,124808356.7470729
235,124808356.7470729
236,124808356.7470729
237,124808356.7470729
238,124808356.7470729
239,124808356.7470729
240,124808356.7470729
241,124808356.7470729
242,124808356.7470729
243,124808356.7470729
244,124808356.7470729
245,124808356.7470729
246,124808356.7470729
247,125708347.26061556
248,125329188.99502201
249,124341474.7761204
250,123649159.13486677
251,123390506.99864115
252,123020426.33292435
253,123232382.34401987
254,123400337.76182646
255,122936032.40219265
256,123801773.80528338
257,124342307.21977723
258,124571348.14592457
259,124848908.64521217
260,125229890.35881591
261,124476885.61096281
262,125143395.4988551
263,124988957.38042831
264,125539717.9598487
265,126181769.8603002
266,126717705.0145945
267,127516058.12165709
268,127559226.27128921
269,127460922.64770636
270,128120723.23988965
271,127028116.94419986
272,128531035.74138989
273,128531035.74138989
274,129061232.64582288
275,129374312.62859769
276,128983835.40223525
277,129065477.39470239
278,128082718.85272565
279,128601331.95647821
280,128807658.48846145
281,128136988.16550264
282,127672207.99847405
283,128289243.73746029
284,128628030.23681365
285,128558963.80878387
286,127610083.91674249
287,127451957.10334408
288,128414523.33523051
289,128505924.28306545
290,128602403.06133564
291,129680450.26507425
292,128431303.97799712
293,128961342.20022899
294,129389903.15485597
295,128739663.1652891
296,128871766.09770676
297,129700682.24571484
298,129601902.57552865
299,129046237.17781873
300,128584709.99591273
301,127351868.30499882
302,127838903.65073198
303,129734798.91895182
304,130159273.80690044
305,130381865.26449665
306,129698619.3771005
307,130475091.05764426
308,129874637.60867323
309,129959135.88076018
310,128773264.12137252
311,128773264.12137252
312,128773264.12137252
313,128773264.12137252
314,129035027.74911614
315,129077780.4410755
316,127303401.35138212
317,127303401.35138212
318,127303401.35138212
319,127303401.35138212
320,127303401.35138212
321,127303401.35138212
322,127303401.35138212
323,127303401.35138212
324,127303401.35138212
325,127303401.35138212
326,127303401.35138212
327,127303401.35138212
328,127303401.35138212
329,128528912.17191914
330,128808852.67294721
331,129756507.12364309
332,129401287.80414322
333,128805101.23681076
334,128825609.08769014
335,128202245.44968016
336,127629984.70837364
337,127629984.70837364
338,129822551.18532015
339,129915620.80334021
340,130213000.79018255
341,129604998.86456227
342,129604998.86456227
343,129604998.86456227
344,130343920.55467889
345,131948951.24049503
346,132369505.4993587
347,132708419.5419199
348,131930127.3511983
349,131930127.3511983
350,131930127.3511983
351,131930127.3511983
352,131930127.3511983
353,131930127.3511983
354,131930127.3511983
355,131930127.3511983
356,131930127.3511983
357,132746860.24313661
358,133905856.72075415
359,134147694.40294683
360,133391200.23838241
361,134015951.08711304
362,134199399.66091605
363,134345897.89182884
364,133794879.58169827
365,134817634.80640662
366,135040850.18837133
367,135272599.0397407
368,135048753.10584956
369,134645452.0936896
370,134414501.94142705
371,135281258.61953068
372,135460083.14587307
373,133528408.3375788
374,133995100.83674493
375,135819876.07510772
376,136403725.122209
377,136114385.8615568
378,136644764.10529482
379,136354289.85117498
380,136354289.85117498
381,136354289.85117498
382,136354289.85117498
383,136354289.85117498
384,136354289.85117498
385,136354289.85117498
386,136354289.85117498
387,136354289.85117498
388,137266214.9120275
389,137367339.93828264
390,137103644.7125347
391,136525022.04575056
392,134297927.51057625
393,135504186.67102557
394,136086074.13584277
395,135884703.0674184
396,136804664.5541985
397,136816970.3314001
398,137578003.12418574
399,137716966.3225164
400,137716966.3225164
401,137716966.3225164
402,137716966.3225164
403,137716966.3225164
404,137716966.3225164
405,137716966.3225164
406,137716966.3225164
407,137716966.3225164
408,137716966.3225164
409,137716966.3225164
410,137716966.3225164
411,137716966.3225164
412,137716966.3225164
413,137716966.3225164
414,137716966.3225164
415,137716966.3225164
416,137716966.3225164
417,137716966.3225164
418,137716966.3225164
419,137716966.3225164
420,138284360.13338315
