,交易类型,日期,开盘价,收盘价,现金,股数,成本,持仓
0,正常买入,2017-01-09,3148.532,3171.236,0.0,31729.104198432764,100000000.0,31729.104198432764
1,正常卖出,2017-02-14,3216.137,3217.928,101999870.84223929,31729.104198432764,100000000.0,0.0
2,正常买入,2017-02-15,3215.464,3212.986,0.0,31689.974718849266,101999870.84223929,31689.974718849266
3,正常卖出,2017-04-14,3276.138,3246.067,102764913.3845252,31689.974718849266,101999870.84223929,0.0
4,正常买入,2017-04-20,3165.665,3172.1,-1.4901161193847656e-08,32429.916347241993,102764913.38452521,32429.916347241993
5,正常卖出,2017-04-24,3164.248,3129.531,101388938.10756446,32429.916347241993,102764913.38452521,0.0
6,正常买入,2017-05-12,3054.112,3083.513,0.0,33164.35365078536,101388938.10756446,33164.35365078536
7,正常卖出,2017-05-23,3069.394,3061.947,101445945.6747933,33164.35365078536,101388938.10756446,0.0
8,正常买入,2017-05-25,3055.343,3107.831,0.0,33169.63138793896,101445945.6747933,33169.63138793896
9,正常卖出,2017-06-01,3108.421,3102.623,102809948.38449562,33169.63138793896,101445945.6747933,0.0
10,正常买入,2017-06-06,3084.54,3102.126,0.0,33297.42559453023,102809948.38449562,33297.42559453023
11,正常卖出,2017-06-12,3149.527,3139.877,104445270.9626933,33297.42559453023,102809948.38449562,0.0
12,正常买入,2017-06-23,3138.444,3157.873,0.0,33246.070356093864,104445270.9626933,33246.070356093864
13,正常卖出,2017-07-25,3249.138,3243.689,107732072.79458046,33246.070356093864,104445270.9626933,0.0
14,正常买入,2017-08-07,3257.67,3279.457,0.0,33037.24697290832,107732072.79458046,33037.24697290832
15,正常卖出,2017-08-22,3287.615,3290.226,108591308.94972557,33037.24697290832,107732072.79458046,0.0
16,正常买入,2017-09-20,3352.185,3365.996,0.0,32361.825532779956,108591308.94972557,32361.825532779956
17,正常卖出,2017-10-30,3413.868,3390.337,109607776.99683727,32361.825532779956,108591308.94972557,0.0
18,正常买入,2017-10-31,3380.999,3393.342,-1.4901161193847656e-08,32386.368265154524,109607776.99683729,32386.368265154524
19,正常卖出,2017-11-02,3391.652,3383.31,109463550.49156477,32386.368265154524,109607776.99683729,0.0
20,正常买入,2017-11-16,3393.194,3399.25,0.0,32227.51080405939,109463550.49156477,32227.51080405939
21,正常卖出,2017-11-17,3392.683,3382.908,108913681.4150198,32227.51080405939,109463550.49156477,0.0
22,正常买入,2017-11-21,3382.36,3410.498,0.0,32168.331147033823,108913681.4150198,32168.331147033823
23,正常卖出,2017-11-27,3346.657,3322.23,106763724.19182356,32168.331147033823,108913681.4150198,0.0
