,收盘价(元)
0,3123.5164
1,3155.2162
2,3157.6365
3,3176.0845
4,3169.5072
5,3161.8376
6,3163.4509
7,3195.3059
8,3227.5916
9,3224.2448
10,3224.406
11,3240.2794
12,3264.8138
13,3264.8138
14,3269.318
15,3255.6692
16,3284.9213
17,3285.6705
18,3263.4059
19,3238.6978
20,3248.094
21,3232.1063
22,3270.3826
23,3260.6734
24,3284.1599
25,3293.2825
26,3280.4919
27,3249.0295
28,3224.0243
29,3290.3383
30,3306.5236
31,3291.1477
32,3287.477
33,3267.1597
34,3258.0344
35,3279.6053
36,3312.3478
37,3310.6536
38,3328.3927
39,3322.0259
40,3285.0988
41,3283.2479
42,3276.0937
43,3230.0766
44,3268.6955
45,3245.3123
46,3263.3148
47,3226.8912
48,3250.546
49,3234.9103
50,3255.6505
51,3265.7475
52,3286.6491
53,3265.6537
54,3251.3971
55,3245.376
56,3240.0568
57,3261.2485
58,3272.8602
59,3296.396
60,3312.5578
61,3312.628
62,3327.6457
63,3315.3578
64,3313.5705
65,3327.1816
66,3318.3638
67,3338.1525
68,3385.6095
69,3393.3312
70,3370.1283
71,3367.031
72,3301.2575
73,3275.413
74,3264.8717
75,3264.1006
76,3285.8844
77,3323.2746
78,3350.4587
79,3334.5028
80,3395.0036
81,3357.6707
82,3319.1506
83,3309.5512
84,3272.3619
85,3310.7367
86,3290.9874
87,3284.232
88,3297.3199
89,3283.5417
90,3296.4696
91,3246.238
92,3204.7494
93,3201.2605
94,3212.5038
95,3221.4484
96,3224.2133
97,3204.5644
98,3204.6345
99,3230.0686
100,3232.441
101,3195.3404
102,3197.7587
103,3213.5855
104,3231.4055
105,3228.8336
106,3233.6734
107,3228.9887
108,3252.9751
109,3273.3341
110,3255.8057
111,3240.3648
112,3197.9011
113,3150.6189
114,3189.4427
115,3189.3758
116,3182.3812
117,3202.0623
118,3243.975
119,3245.3492
120,3222.9469
121,3205.5748
122,3196.6092
123,3203.6958
124,3221.3666
125,3196.1337
126,3236.48
127,3237.7012
128,3209.6298
129,3197.8201
130,3198.8358
131,3169.522
132,3167.7452
133,3164.1608
134,3231.5213
135,3223.0279
136,3216.6709
137,3275.9257
138,3291.0398
139,3290.9493
140,3261.6903
141,3280.4626
142,3288.0842
143,3268.8311
144,3260.6196
145,3244.4867
146,3254.5597
147,3189.248
148,3178.4272
149,3176.1758
150,3150.1277
151,3163.7393
152,3131.953
153,3092.9777
154,3120.3338
155,3078.4021
156,3082.2439
157,3064.0747
158,3098.6363
159,3135.8867
160,3137.1375
161,3119.8764
162,3133.2467
163,3177.0603
164,3154.3693
165,3158.0769
166,3122.3523
167,3116.7191
168,3142.779
169,3137.0593
170,3123.0669
171,3126.5511
172,3117.7434
173,3125.9319
174,3124.9567
175,3108.5679
176,3084.701
177,3132.4316
178,3115.6071
179,3102.2726
180,3107.3156
181,3110.4753
182,3096.9224
183,3096.9224
184,3075.2361
185,3078.9556
186,3107.9007
187,3088.0991
188,3073.813
189,3083.4964
190,3058.7098
191,3005.3934
192,2983.0585
193,2939.2913
194,2939.2913
195,2962.2437
196,2974.1135
197,2988.2992
198,3017.7842
199,3021.5534
200,3018.7706
201,3023.0765
202,3009.4058
203,3030.7977
204,3058.4105
205,3057.2697
206,3052.3726
207,3053.2792
208,3038.9699
209,3046.5329
210,3056.0703
211,3072.8348
212,3050.9257
213,3054.3655
214,3068.3191
215,3067.9328
216,3043.611
217,3061.8562
218,3040.9717
219,3031.7002
220,3038.5545
221,3021.6874
222,3029.6727
223,3031.6358
224,3022.9138
225,2972.2959
226,2968.9334
227,2966.2061
228,2969.5594
229,2991.4385
230,3003.4378
231,2968.7606
232,2958.9856
233,2942.5568
234,2930.8036
235,2932.3908
236,2902.1096
237,2918.7149
238,2914.7752
239,2918.8126
240,2898.8787
241,2914.6138
242,2954.7035
243,2974.9348
