,0
0,100000000.0
1,100525414.42873776
2,99298019.39701705
3,100204243.52587414
4,100120347.1950241
5,100874057.55942102
6,100590781.17092408
7,100047407.37789728
8,99530777.3210862
9,99576562.20895863
10,100233558.02801664
11,98820433.25243662
12,99099286.88746254
13,96372254.6550185
14,88927960.84139097
15,90115625.55990309
16,91242368.95388316
17,92810144.40262824
18,93116237.14816056
19,93586493.04833512
20,93948686.12285165
21,94765396.44115722
22,93997026.4459498
23,93997026.4459498
24,93997026.4459498
25,93997026.4459498
26,93997026.4459498
27,93997026.4459498
28,94444488.9561723
29,94444488.9561723
30,94182380.08446173
31,93617416.29445858
32,92836878.14087805
33,92942521.44801815
34,89403409.95299476
35,89403409.95299476
36,89403409.95299476
37,89403409.95299476
38,90359058.786888
39,89265758.09227341
40,86582335.55480188
41,88155286.78339931
42,87237101.13222626
43,87237101.13222626
44,87237101.13222626
45,87237101.13222626
46,87237101.13222626
47,87237101.13222626
48,87237101.13222626
49,87744356.45279033
50,85013523.20934224
51,87003567.74552895
52,88893983.34159516
53,88272550.87478496
54,88272550.87478496
55,88272550.87478496
56,88272550.87478496
57,88272550.87478496
58,88272550.87478496
59,88272550.87478496
60,88272550.87478496
61,88272550.87478496
62,88272550.87478496
63,88272550.87478496
64,88272550.87478496
65,89209271.17695324
66,88700986.99441388
67,88977419.70520164
68,89563027.6787963
69,90006609.27179106
70,89111560.5705028
71,89968872.20332181
72,89795481.63123967
73,88758534.85393707
74,88772416.16177264
75,88511334.77101183
76,88511334.77101183
77,88511334.77101183
78,88511334.77101183
79,89875196.8115087
80,89668568.87263979
81,90412429.45256788
82,90395492.01958579
83,90294142.21780355
84,90496901.15234637
85,89631689.98556043
86,89572874.24990082
87,89790178.64219263
88,90513342.07872002
89,90049992.11914246
90,89556167.89546604
91,87864975.8293267
92,87996262.79371941
93,88888650.67128026
94,88584385.80080165
95,88878483.2151981
96,88980818.1860173
97,88980818.1860173
98,88980818.1860173
99,88980818.1860173
100,88980818.1860173
101,88980818.1860173
102,88980818.1860173
103,88980818.1860173
104,88980818.1860173
105,88980818.1860173
106,90218688.21503398
107,89211355.6325528
108,89701247.5559914
109,89827418.31504868
110,89932734.50433281
111,90799196.59559627
112,90726915.44003282
113,90890563.84362517
114,91163796.6473047
115,90521404.41264568
116,90521404.41264568
117,91483056.35587634
118,93435723.96642321
119,95317496.29799956
120,100761410.2353956
121,101137992.65497458
122,102894599.29594712
123,104215845.63224252
124,104215845.63224252
125,106080344.99319482
126,105197153.9828622
127,103554656.60207915
128,98896326.73012745
129,98921465.07456562
130,98921465.07456562
131,98921465.07456562
132,98921465.07456562
133,98921465.07456562
134,98921465.07456562
135,98921465.07456562
136,98878622.26453431
137,100918453.84061348
138,100681666.04173991
139,101391851.77322909
140,103167256.36970952
141,103281259.18352406
142,103461292.16244021
143,103733864.16936336
144,102740535.35562325
145,103512986.58934012
146,102319493.49936303
147,101675475.77661201
148,101720213.6946538
149,102926275.06109276
150,105337074.49505974
151,105713491.77137932
152,104397526.14191939
153,103042676.35418335
154,103556793.29703718
155,103708598.96237887
156,103339171.89002857
157,101996289.99313739
158,102620384.71561837
159,104265128.86060461
160,104016118.92595652
161,104473432.03778216
162,104295610.68343472
163,103688452.34909841
164,102781318.69289188
165,100757514.02183297
166,98934299.94940035
167,99650222.00763988
168,97793610.63076772
169,97198533.82898125
170,97965428.55941907
171,98520337.78976329
172,99027110.83709547
173,98673898.82403378
174,98170306.7611052
175,98170306.7611052
176,98170306.7611052
177,98170306.7611052
178,98170306.7611052
179,98170306.7611052
180,98170306.7611052
181,98170306.7611052
182,98170306.7611052
183,98170306.7611052
184,98356768.13865344
185,100953572.8349286
186,100992190.19354258
187,100421911.574085
188,100063387.16302462
189,100063387.16302462
190,100063387.16302462
191,100596761.73139916
192,100503718.64911899
193,100125156.44682759
194,99082243.9067595
195,98269805.08447392
196,98366436.04729034
197,98817484.31793858
198,98922956.51965013
199,97466195.41050033
200,97483941.36385188
201,98872992.18497105
202,99065407.76978658
203,100355868.95362641
204,100014719.27739069
205,100014719.27739069
206,100014719.27739069
207,100014719.27739069
208,100014719.27739069
209,100014719.27739069
210,100014719.27739069
211,100014719.27739069
212,100014719.27739069
213,100632987.5079885
214,101071030.32537697
215,102171088.0956098
216,101821966.85403086
217,100610240.19771816
218,100831848.43221201
219,101986081.42639178
220,101389308.49135414
221,101389308.49135414
222,101389308.49135414
223,101389308.49135414
224,101389308.49135414
225,101389308.49135414
226,101389308.49135414
227,101389308.49135414
228,101515073.0359423
229,100730079.2986594
230,101390011.75603881
231,101231876.2831927
232,101231876.2831927
233,101231876.2831927
234,101231876.2831927
235,101231876.2831927
236,101231876.2831927
237,101727682.0472499
238,101150030.46615714
239,102156061.90555933
240,102177801.06077035
241,101628932.5061537
242,102694130.05807817
243,104457100.95644861
