,0
0,100000000.0
1,100000000.0
2,100000000.0
3,99637268.85538572
4,100026293.53988603
5,99201112.48035125
6,99635696.7534618
7,98467642.4570091
8,97525894.94148846
9,98091179.97753064
10,98873557.22272465
11,98548546.23106131
12,98462225.05322129
13,97562232.53744768
14,97604804.57917704
15,95083224.68665236
16,95709347.49958786
17,94008224.54790075
18,93099571.3871146
19,94986833.12017608
20,95529550.38204879
21,95529550.38204879
22,95529550.38204879
23,95529550.38204879
24,95529550.38204879
25,95529550.38204879
26,95675871.14720947
27,95736738.44244866
28,96363987.11390555
29,96263624.3368003
30,96263624.3368003
31,97019227.12714127
32,95278013.48805045
33,95278013.48805045
34,95513620.0603128
35,96245448.40659839
36,96117360.5836079
37,96032418.36488119
38,95109270.71252774
39,93045956.3287785
40,90857638.31548935
41,89743188.22909592
42,89743188.22909592
43,89743188.22909592
44,89743188.22909592
45,89743188.22909592
46,91472221.10428953
47,92751224.02829736
48,93790597.45661822
49,93865988.87771772
50,94044166.85001129
51,94366428.89743567
52,93767287.36277197
53,92670313.76938501
54,92735593.57180493
55,92338417.86500277
56,92338417.86500277
57,92134721.69885701
58,92999173.07041885
59,92999173.07041885
60,93019273.16474117
61,91603691.22734979
62,91603691.22734979
63,91603691.22734979
64,91603691.22734979
65,91603691.22734979
66,92140825.91276841
67,91729591.02831486
68,91280524.4997718
69,91237811.0767825
70,90010113.66802473
71,87887099.50299902
72,87887099.50299902
73,87887099.50299902
74,87887099.50299902
75,87887099.50299902
76,87887099.50299902
77,89592939.4045964
78,90201473.82509246
79,88166789.55039923
80,88166789.55039923
81,88166789.55039923
82,88166789.55039923
83,88166789.55039923
84,88166789.55039923
85,88166789.55039923
86,88571090.15986352
87,88350078.74367997
88,88664660.06692114
89,90084756.5436294
90,90002966.04947712
91,90002966.04947712
92,90002966.04947712
93,90002966.04947712
94,90002966.04947712
95,90002966.04947712
96,90002966.04947712
97,90002966.04947712
98,90626403.19742942
99,91786762.55680117
100,91939673.75622211
101,92564463.88014145
102,91768142.01642391
103,91768142.01642391
104,91768142.01642391
105,91768142.01642391
106,91768142.01642391
107,91768142.01642391
108,93115919.56156048
109,93077865.05928567
110,92833294.3458831
111,91723888.39502104
112,93210332.90803793
113,94041279.84620126
114,94867732.11390041
115,95710661.09674904
116,94371732.17370112
117,95413237.99973704
118,95105017.58691914
119,95604439.76527949
120,95565093.85237788
121,94198570.85313234
122,94452594.13084029
123,94219011.6374232
124,92933008.53994557
125,92933008.53994557
126,92933008.53994557
127,92933008.53994557
128,92933008.53994557
129,94074613.3965911
130,94112724.18052846
131,94838579.64598617
132,93899496.06627166
133,93747475.53836505
134,93747475.53836505
135,94322956.59454066
136,94274598.40133442
137,94470888.97847134
138,93626567.53051123
139,93819974.40178654
140,91607453.48543158
141,91607453.48543158
142,91607453.48543158
143,91607453.48543158
144,91607453.48543158
145,91607453.48543158
146,91607453.48543158
147,91607453.48543158
148,91607453.48543158
149,91607453.48543158
150,91607453.48543158
151,91607453.48543158
152,91607453.48543158
153,91607453.48543158
154,92306980.28787269
155,92262741.68652597
156,90544335.75487126
157,91418597.98103991
158,91136266.771032
159,91263130.65492454
160,90882750.21306938
161,90176394.16349342
162,89693199.59619634
163,89735396.50259261
164,90113707.0881877
165,91339704.0720242
166,91419899.03354627
167,91118344.91356365
168,91863718.45767513
169,91912803.62041453
170,91082246.56688109
171,91082246.56688109
172,91082246.56688109
173,91082246.56688109
174,90833298.05892788
175,90681199.69440034
176,90440682.73735024
177,89843154.69488369
178,89843154.69488369
179,88762620.38174227
180,90002930.12283385
181,88583444.29598027
182,88471089.78915635
183,87893972.13179556
184,87893972.13179556
185,87893972.13179556
186,89245318.21889494
187,88975432.37188129
188,90616407.58221884
189,90907565.89045343
190,90907565.89045343
191,90907565.89045343
192,90907565.89045343
193,90907565.89045343
194,90907565.89045343
195,90907565.89045343
196,90907565.89045343
197,90907565.89045343
198,90907565.89045343
199,90907565.89045343
200,90907565.89045343
201,92127273.81903504
202,91864637.42397626
203,94032717.65152687
204,94247699.69903229
205,93839691.29556651
206,93339787.45231442
207,92971231.92609644
208,94537857.78941524
209,94537857.78941524
210,94418699.93375362
211,95970495.75325751
212,95443271.91326208
213,95443271.91326208
214,95443271.91326208
215,95443271.91326208
216,95493525.72608225
217,95739751.50067273
218,95504871.39626126
219,95887705.84102613
220,95077023.74701239
221,95077023.74701239
222,95077023.74701239
223,95077023.74701239
224,95077023.74701239
225,95874541.38568604
226,95896003.95689073
227,95510513.49160895
228,95442767.58709006
229,95729342.16613953
230,95729342.16613953
231,94801360.8346853
232,94801360.8346853
233,94801360.8346853
234,94801360.8346853
235,94801360.8346853
236,94801360.8346853
237,94801360.8346853
238,94401438.06076805
239,93971359.82223411
240,93614147.82431282
241,93614147.82431282
242,94062134.27985117
243,93720123.89837343
244,93720123.89837343
245,93720123.89837343
