,0
0,100000000.0
1,100000000.0
2,100000000.0
3,100655685.29807705
4,100484096.31241018
5,99397369.822647
6,99397369.822647
7,99397369.822647
8,99397369.822647
9,99397369.822647
10,100555701.68560308
11,99721267.10456957
12,100188520.0478688
13,101255868.08306277
14,100850021.32438764
15,101339025.49532636
16,99806482.48103712
17,99806482.48103712
18,99806482.48103712
19,99806482.48103712
20,99806482.48103712
21,99806482.48103712
22,99806482.48103712
23,99806482.48103712
24,99806482.48103712
25,99806482.48103712
26,99806482.48103712
27,99806482.48103712
28,99806482.48103712
29,99806482.48103712
30,99806482.48103712
31,99806482.48103712
32,99806482.48103712
33,99806482.48103712
34,99806482.48103712
35,99515113.72287412
36,97406436.22145876
37,97406436.22145876
38,97406436.22145876
39,97406436.22145876
40,97406436.22145876
41,97406436.22145876
42,97406436.22145876
43,97406436.22145876
44,97406436.22145876
45,97406436.22145876
46,97406436.22145876
47,97406436.22145876
48,97406436.22145876
49,97406436.22145876
50,97785564.54933979
51,96136409.40802598
52,97231309.4747767
53,96329700.81444275
54,95074630.97328024
55,94976675.08786808
56,96522215.7120103
57,97001366.85067667
58,97605089.77443798
59,97188172.29045103
60,97188172.29045103
61,97188172.29045103
62,97188172.29045103
63,97188172.29045103
64,97188172.29045103
65,97188172.29045103
66,97188172.29045103
67,97188172.29045103
68,97188172.29045103
69,97188172.29045103
70,97188172.29045103
71,97188172.29045103
72,97188172.29045103
73,97188172.29045103
74,96693725.00466272
75,96946325.92573124
76,96025457.96927369
77,96065788.95082738
78,96469215.96703024
79,96966838.83276792
80,96184253.70969397
81,96184253.70969397
82,96184253.70969397
83,96307906.30983403
84,96697142.43294324
85,97284484.5576037
86,96351318.0285845
87,98060594.05107364
88,98825878.70941895
89,98825878.70941895
90,99146117.39525189
91,98639018.96143731
92,98639018.96143731
93,98639018.96143731
94,98639018.96143731
95,98639018.96143731
96,98639018.96143731
97,99274938.52270633
98,99053044.7667231
99,99457227.94454762
100,99711312.4290249
101,98952734.14336507
102,98952734.14336507
103,98952734.14336507
104,98952734.14336507
105,98952734.14336507
106,98952734.14336507
107,99596254.22768162
108,99013964.37272601
109,98098528.44980907
110,97044057.787877
111,97044057.787877
112,97044057.787877
113,97044057.787877
114,97044057.787877
115,97230029.42515936
116,97241862.07540353
117,98357182.05909874
118,98324748.60119441
119,97419733.52746116
120,97911009.35238011
121,97845155.47357875
122,95936060.96053109
123,96360365.07563484
124,96249582.56932802
125,96249582.56932802
126,96249582.56932802
127,96249582.56932802
128,96321215.95767452
129,96828535.64107756
130,95796281.81819443
131,96776075.07776435
132,96089567.39874801
133,96084645.23338617
134,96021333.10087755
135,96723701.39216298
136,97051482.85417686
137,96390723.55700924
138,94138541.04915364
139,94138541.04915364
140,94138541.04915364
141,94356632.57634261
142,93959301.49165602
143,95810301.36886458
144,95810301.36886458
145,95359664.98350663
146,95359664.98350663
147,95359664.98350663
148,95359664.98350663
149,96824924.64668229
150,97802864.37956132
151,97877406.58273214
152,97658969.44491678
153,97425166.15118462
154,97454141.85594082
155,95504454.84573162
156,96565897.14028037
157,96019207.21557605
158,94960233.59122598
159,94960233.59122598
160,94960233.59122598
161,94960233.59122598
162,94960233.59122598
163,94960233.59122598
164,94960233.59122598
165,94960233.59122598
166,94960233.59122598
167,95950944.03107692
168,95542598.5081697
169,96612928.34917647
170,98072776.5309222
171,98035428.92855076
172,98514060.28639014
173,98780294.99461709
174,99107383.27422464
175,97699724.63896824
176,97835254.05036734
177,96520579.4247185
178,96704520.41603096
179,97093145.6314377
180,97460559.33932878
181,96680464.47398911
182,96680464.47398911
183,96680464.47398911
184,96680464.47398911
185,96680464.47398911
186,96680464.47398911
187,96680464.47398911
188,96680464.47398911
189,96680464.47398911
190,96680464.47398911
191,96680464.47398911
192,96680464.47398911
193,96680464.47398911
194,96680464.47398911
195,96680464.47398911
196,96680464.47398911
197,96680464.47398911
198,96680464.47398911
199,96680464.47398911
200,96680464.47398911
201,96680464.47398911
202,96680464.47398911
203,96680464.47398911
204,96680464.47398911
205,96680464.47398911
206,96680464.47398911
207,96680464.47398911
208,96680464.47398911
209,96680464.47398911
210,96680464.47398911
211,96680464.47398911
212,96680464.47398911
213,96680464.47398911
214,96680464.47398911
215,96680464.47398911
216,96680464.47398911
217,96680464.47398911
218,96680464.47398911
219,96680464.47398911
220,96680464.47398911
221,96680464.47398911
222,96680464.47398911
223,96494736.01121888
224,96846668.65043019
225,96764101.30725887
226,97673747.3109055
227,97182970.4887847
228,97182970.4887847
229,97182970.4887847
230,97182970.4887847
231,97182970.4887847
232,97028645.39820606
233,96513155.62931226
234,96146901.08029433
235,96868753.34391727
236,95744495.53350899
237,95744495.53350899
238,95744495.53350899
239,95744495.53350899
240,96216411.19502139
241,95548647.47055423
242,95493732.89907256
243,95867085.43483528
244,94992653.93983617
245,94992653.93983617
246,94992653.93983617
