Date,Predict_price,actual_p,actual_p-1
01/07/2021,3562.9327790502107,3576.2046,3530.9072
01/18/2021,3604.4579428078255,3596.2237,3566.2847
01/20/2021,3592.4672460337015,3583.092,3596.3564
02/24/2021,3582.6160888671875,3564.0799,3617.7013
03/17/2021,3437.9236707743826,3445.5509,3424.6524
03/19/2021,3391.052373865668,3404.6634,3449.6413
03/26/2021,3429.6993408203125,3418.3267,3355.0706
04/21/2021,3470.356603552465,3472.9298,3467.1481
05/07/2021,3432.6428809959775,3418.8741,3446.0743
05/13/2021,3431.3544185207957,3429.5361,3429.7544
05/14/2021,3483.8567578815855,3490.3762,3432.138
05/26/2021,3571.469477407209,3593.357,3502.539
05/28/2021,3604.248176574707,3600.7844,3585.7337
06/10/2021,3613.039638397502,3610.859,3576.8015
06/23/2021,3568.7549442501604,3566.2199,3539.7876
06/25/2021,3609.4503696599054,3607.5618,3568.5758
07/09/2021,3515.3687546679603,3524.0881,3557.2177
07/29/2021,3454.8961181640625,3411.724,3355.8189
08/03/2021,3449.463068443554,3447.9914,3385.6902
08/06/2021,3450.7744449199495,3458.2277,3461.7185
08/18/2021,3474.397751602977,3485.2859,3512.109
09/02/2021,3590.5730491065206,3597.0426,3543.8663
09/09/2021,3690.365113575707,3693.1296,3673.4023
09/14/2021,3601.547882080078,3662.6015,3699.2534
09/15/2021,3669.199557249733,3656.2232,3709.6336
11/24/2021,3584.8749042665813,3592.7025,3580.5058
11/26/2021,3557.0336810880035,3564.0894,3593.3883
12/13/2021,3699.095386783345,3681.082,3654.3684
12/17/2021,3621.463059635137,3632.3638,3648.9271
12/23/2021,3641.6140883034514,3643.3391,3632.6763
12/27/2021,3618.027378332066,3615.9741,3645.3948
