,Date,收盘价(元),Predict_price,开盘价(元),Buy,Sell
0,2018-01-04,3385.71,3383.8516355346983,3371.0,,
1,2018-01-05,3391.75,3388.1380583878,3386.464,,
2,2018-01-08,3409.48,3408.7598538568714,3391.553,1.0,
3,2018-01-09,3413.9,3413.4478969055967,3406.112,,
4,2018-01-10,3421.834,3424.5960853630672,3414.113,,
5,2018-01-11,3425.345,3418.32470703125,3415.585,,
6,2018-01-12,3428.941,3435.4870272039248,3423.879,,
7,2018-01-15,3410.488,3423.910245773222,3428.951,,1.0
8,2018-01-16,3436.594,3429.286267295084,3403.469,,
9,2018-01-17,3444.671,3443.803854071357,3438.576,,
10,2018-01-18,3474.754,3467.2490444646223,3449.881,,
11,2018-01-19,3487.864,3485.517128597778,3481.62,1.0,
12,2018-01-22,3501.362,3484.082832387276,3476.994,,
13,2018-01-23,3546.505,3515.7188364574213,3504.344,1.0,
14,2018-01-24,3559.465,3543.229148213661,3553.479,,
15,2018-01-25,3548.307,3545.628482723637,3555.168,,
16,2018-01-26,3558.129,3556.8100644719066,3535.493,,
17,2018-01-29,3523.001,3543.1470917561755,3563.64,,
18,2018-01-30,3488.009,3496.3760986328125,3511.501,,
19,2018-01-31,3480.833,3482.286838509979,3470.509,,1.0
20,2018-02-01,3446.98,3458.3085555900966,3478.67,,
21,2018-02-02,3462.081,3451.61865234375,3419.225,,
22,2018-02-05,3487.497,3475.7158877549564,3411.67,,
23,2018-02-06,3370.652,3340.552889604693,3418.01,,
24,2018-02-07,3309.26,3390.6657791137695,3412.744,,
25,2018-02-08,3262.05,3257.971778869629,3281.046,,
26,2018-02-09,3129.851,3192.432731628418,3172.851,,
27,2018-02-12,3154.125,3138.7047003700504,3128.371,,1.0
28,2018-02-13,3184.959,3217.3573062128103,3176.107,,
29,2018-02-14,3199.159,3219.3782595265534,3188.248,,
30,2018-02-22,3268.559,3270.632624882892,3237.569,1.0,
31,2018-02-23,3289.024,3276.9189453125,3275.429,1.0,
32,2018-02-26,3329.574,3320.359285755158,3307.295,1.0,
33,2018-02-27,3292.068,3288.8525390625,3328.672,,
34,2018-02-28,3259.408,3254.279907345475,3264.059,,
35,2018-03-01,3273.755,3267.2636184692383,3235.089,,
36,2018-03-02,3254.528,3264.9824437309285,3248.446,,
37,2018-03-05,3256.926,3266.556800842285,3255.871,,
38,2018-03-06,3289.642,3286.29541015625,3266.487,,
39,2018-03-07,3271.668,3291.851064453555,3288.865,,1.0
40,2018-03-08,3288.406,3284.7413000196884,3268.347,,
41,2018-03-09,3307.166,3308.212740559303,3291.426,,
42,2018-03-12,3326.699,3333.1296989865455,3319.209,,
43,2018-03-13,3310.239,3314.1889626006287,3324.122,,
44,2018-03-14,3291.382,3283.01318359375,3298.666,,
45,2018-03-15,3291.112,3284.9404149246693,3277.514,,
46,2018-03-16,3269.882,3273.8744506835938,3290.209,,
