Date,Predict_price,actual_p,actual_p-1
01/11/2021,3520.4876431009493,3531.4978,3577.6923
01/13/2021,3607.760507740533,3598.6518,3518.0106
01/25/2021,3620.8408956259755,3624.2381,3616.5401
02/08/2021,3540.3602923085746,3532.4467,3509.4874
02/08/2021,3540.3602923085746,3532.4467,3509.4874
02/10/2021,3639.4661333593835,3655.088,3539.7726
02/18/2021,3757.808217583401,3675.3571,3612.6125
02/18/2021,3757.808217583401,3675.3571,3612.6125
02/19/2021,3645.16493284839,3696.168,3721.0865
02/26/2021,3473.7205904985367,3509.0804,3595.5424
03/12/2021,3436.7638397216797,3453.0777,3369.9024
03/17/2021,3437.9236707743826,3445.5509,3424.6524
03/29/2021,3443.391873974517,3435.2958,3373.3171
04/30/2021,3441.27964560815,3446.8564,3458.0819
05/06/2021,3454.1064453125,3441.2826,3468.3022
05/17/2021,3527.8815048122087,3517.6158,3436.0919
05/17/2021,3527.8815048122087,3517.6158,3436.0919
05/24/2021,3495.4947219916094,3497.2821,3510.8353
06/01/2021,3615.6800804138184,3624.7138,3600.0702
06/16/2021,3517.748836291438,3518.3292,3587.4658
07/05/2021,3537.1899258670887,3534.3222,3569.8919
07/26/2021,3454.3296672703973,3467.4409,3571.7152
07/29/2021,3454.8961181640625,3411.724,3355.8189
08/02/2021,3465.3309822620836,3464.2854,3398.196
08/02/2021,3465.3309822620836,3464.2854,3398.196
08/20/2021,3403.837951093481,3427.3338,3475.298
08/23/2021,3478.859128238612,3477.1321,3442.5062
09/08/2021,3683.613898122595,3675.1865,3621.7099
09/10/2021,3712.0143611740364,3703.1103,3666.8246
09/22/2021,3620.5044743287845,3628.4897,3595.2715
09/23/2021,3667.046211402728,3642.2204,3563.2074
09/27/2021,3586.7842759569035,3582.8307,3637.8677
09/30/2021,3576.662110444529,3568.1668,3573.5178
10/13/2021,3557.10750082123,3561.7623,3581.2967
10/15/2021,3570.052686344798,3572.3662,3555.1085
10/27/2021,3555.9921686078715,3562.3052,3612.8332
10/29/2021,3547.126125471995,3547.3361,3548.7021
11/01/2021,3548.847267094291,3544.4795,3519.3276
11/11/2021,3525.2972698181648,3532.7858,3498.9445
11/23/2021,3585.8268901251704,3589.0894,3562.7628
11/25/2021,3579.0189997496072,3584.1788,3590.0189
11/26/2021,3557.0336810880035,3564.0894,3593.3883
12/06/2021,3599.3339124464414,3589.3061,3576.4496
12/17/2021,3621.463059635137,3632.3638,3648.9271
12/23/2021,3641.6140883034514,3643.3391,3632.6763
12/29/2021,3600.0769867829763,3597.0002,3619.6419
