Date,Predict_price,actual_p,actual_p-1,type,difference
01/08/2018,3408.7598538568714,3409.48,3386.464,buy,-0.7201461431286589
01/19/2018,3485.517128597778,3487.864,3449.881,buy,-2.34687140222195
01/23/2018,3515.7188364574213,3546.505,3476.994,buy,-30.786163542578834
02/22/2018,3270.632624882892,3268.559,3188.248,buy,2.073624882891636
02/23/2018,3276.9189453125,3289.024,3237.569,buy,-12.105054687499887
02/26/2018,3320.359285755158,3329.574,3275.429,buy,-9.214714244842071
03/20/2018,3279.6442559576267,3290.64,3264.928,buy,-10.99574404237319
03/29/2018,3140.0214686025856,3160.531,3130.571,buy,-20.50953139741432
04/11/2018,3208.816409416517,3208.082,3144.257,buy,0.7344094165173374
04/18/2018,3074.339851941359,3091.399,3112.975,buy,-17.059148058640858
04/23/2018,3070.741950271096,3068.012,3105.462,buy,2.7299502710957313
04/26/2018,3086.8962807971457,3075.03,3112.398,buy,11.866280797145464
06/13/2018,3049.3923613141433,3049.797,3053.028,buy,-0.404638685856753
06/19/2018,2865.399658203125,2907.822,3037.452,buy,-42.422341796875116
07/04/2018,2760.6326291554205,2759.126,2774.57,buy,1.5066291554203417
08/17/2018,2700.5417237813267,2668.966,2691.426,buy,31.575723781326815
08/17/2018,2700.5417237813267,2668.966,2691.426,buy,31.575723781326815
08/27/2018,2789.6578912166938,2780.899,2717.081,buy,8.758891216693883
08/30/2018,2737.782175623796,2737.737,2774.865,buy,0.045175623795785214
09/07/2018,2710.9236168177495,2702.301,2697.578,buy,8.622616817749531
09/11/2018,2659.0080058818708,2664.8,2698.011,buy,-5.791994118129423
10/15/2018,2595.823934593416,2568.098,2574.042,buy,27.72593459341624
10/16/2018,2572.5093778930104,2546.33,2605.912,buy,26.179377893010496
10/25/2018,2547.470703125,2603.8,2579.972,buy,-56.32929687500018
11/06/2018,2644.3963949446725,2659.356,2665.427,buy,-14.959605055327756
11/07/2018,2656.5501405682508,2641.342,2660.719,buy,15.208140568250656
11/20/2018,2660.9367525831944,2645.8545,2681.8988,buy,15.082252583194531
12/03/2018,2680.233612340077,2654.798,2564.5644,buy,25.435612340077114
12/19/2018,2551.4133276243792,2549.5634,2583.6343,buy,1.8499276243792337
12/21/2018,2499.7350447094736,2516.2506,2544.5054,buy,-16.51555529052621
01/12/2018,3435.4870272039248,3428.941,3415.585,sell,6.54602720392495
01/31/2018,3482.286838509979,3480.833,3511.501,sell,1.4538385099790503
02/12/2018,3138.7047003700504,3154.125,3172.851,sell,-15.420299629949568
03/07/2018,3291.851064453555,3271.668,3266.487,sell,20.183064453554834
04/03/2018,3126.824428113484,3136.633,3169.779,sell,-9.808571886515892
04/16/2018,3128.0399405667276,3110.649,3192.042,sell,17.39094056672775
04/19/2018,3089.7594767273586,3117.376,3091.91,sell,-27.616523272641643
04/23/2018,3070.741950271096,3068.012,3105.462,sell,2.7299502710957313
05/09/2018,3147.8315786579587,3159.15,3135.296,sell,-11.318421342041347
05/22/2018,3209.8345947265625,3214.35,3206.176,sell,-4.515405273437409
06/07/2018,3109.068113451232,3109.499,3109.175,sell,-0.4308865487678304
06/08/2018,3059.7595473289844,3067.148,3121.184,sell,-7.388452671015784
06/15/2018,3025.3540649414062,3021.901,3038.07,sell,3.45306494140641
06/25/2018,2886.569530620569,2859.336,2855.585,sell,27.233530620569127
07/10/2018,2799.2355836483453,2827.625,2752.447,sell,-28.389416351654745
07/23/2018,2847.146662252875,2859.542,2769.754,sell,-12.395337747124813
08/07/2018,2771.67098238167,2779.374,2736.526,sell,-7.703017618329795
08/10/2018,2797.6010565857114,2795.31,2729.579,sell,2.2910565857114307
08/23/2018,2725.9208303192004,2724.624,2731.958,sell,1.2968303192005806
09/03/2018,2702.3185307147937,2720.734,2730.113,sell,-18.4154692852062
09/05/2018,2699.380599975586,2704.337,2720.648,sell,-4.956400024414052
09/14/2018,2682.128935920514,2681.643,2679.208,sell,0.48593592051383894
09/25/2018,2764.7311872720825,2781.139,2733.874,sell,-16.407812727917644
10/17/2018,2558.656567933635,2561.614,2567.764,sell,-2.9574320663650724
10/25/2018,2547.470703125,2603.8,2579.972,sell,-56.32929687500018
11/06/2018,2644.3963949446725,2659.356,2665.427,sell,-14.959605055327756
11/19/2018,2705.5730566726957,2703.5116,2669.7799,sell,2.06145667269584
11/23/2018,2597.548921209669,2579.4831,2655.8964,sell,18.06582120966914
11/28/2018,2592.8552304445707,2601.7365,2585.8261,sell,-8.881269555429299
12/13/2018,2641.7687208520315,2634.0491,2608.1141,sell,7.719620852031312
